E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
NPYNR; neuropeptide Y receptor, invertebrate
TAKR; tachykinin-like receptor
GALRN, AR; allatostatin receptor
PARD3; partitioning defective protein 3
HCRTR1; hypocretin (orexin) receptor 1
HCRTR2; hypocretin (orexin) receptor 2
TSHR; thyroid stimulating hormone receptor
OPN4, Rh2_7; r-opsin
OPN3; c-opsin
OLFR; olfactory receptor
ADORA2A, ADOR; adenosine receptor A2a
GNRHR; gonadotropin-releasing hormone receptor
RXFP1, LGR7; relaxin family peptide receptor 1
RXFP2, LGR8; relaxin family peptide receptor 2
csgD; LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein
csgA; major curlin subunit
csgB; minor curlin subunit
csgC; curli production protein
csgE; curli production assembly/transport component CsgE
csgF; curli production assembly/transport component CsgF
stsE; scyllo-inosamine 4-kinase [EC:2.7.1.65]
strB1; scyllo-inosamine-4-phosphate amidinotransferase 1 [EC:2.1.4.2]
E2.4.2.27; dTDP-dihydrostreptose-streptidine-6-phosphate dihydrostreptosyltransferase [EC:2.4.2.27]
strK; streptomycin-6-phosphatase [EC:3.1.3.39]
strB; streptomycin 6-kinase [EC:2.7.1.72]
PKA; protein kinase A [EC:2.7.11.11]
GNA12; guanine nucleotide-binding protein subunit alpha-12
PPP3C, CNA; serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]
RASGRF1; Ras-specific guanine nucleotide-releasing factor 1
RAPGEF4, EPAC2; Rap guanine nucleotide exchange factor 4
RASA1, RASGAP; Ras GTPase-activating protein 1
RAP1A; Ras-related protein Rap-1A
PPP2R2; serine/threonine-protein phosphatase 2A regulatory subunit B
GRB2; growth factor receptor-binding protein 2
MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]
LAMTOR3, MP1, MAP2K1IP1; ragulator complex protein LAMTOR3
ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
MKNK, MNK; MAP kinase interacting serine/threonine kinase [EC:2.7.11.1]
RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]
ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4
MYC; Myc proto-oncogene protein
SRF; serum response factor
MAPT, TAU; microtubule-associated protein tau
PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]
RAC1; Ras-related C3 botulinum toxin substrate 1
CDC42; cell division control protein 42
GADD45; growth arrest and DNA-damage-inducible protein
MAP3K7IP1, TAB1; TAK1-binding protein 1
MAP3K7IP2, TAB2; TAK1-binding protein 2
ECSIT; evolutionarily conserved signaling intermediate in Toll pathway
MAP4K3, GLK; mitogen-activated protein kinase kinase kinase kinase 3 [EC:2.7.11.1]
PAK1; p21-activated kinase 1 [EC:2.7.11.1]
STK3, MST2; serine/threonine kinase 3
MINK; misshapen/NIK-related kinase [EC:2.7.11.1]
MAP3K9, MLK1; mitogen-activated protein kinase kinase kinase 9 [EC:2.7.11.25]
MAP3K11, MLK3; mitogen-activated protein kinase kinase kinase 11 [EC:2.7.11.25]
MAP3K2, MEKK2; mitogen-activated protein kinase kinase kinase 2 [EC:2.7.11.25]
MAP3K3, MEKK3; mitogen-activated protein kinase kinase kinase 3 [EC:2.7.11.25]
MAP3K13, LZK; mitogen-activated protein kinase kinase kinase 13 [EC:2.7.11.25]
ZAK, MLTK; sterile alpha motif and leucine zipper containing kinase AZK [EC:2.7.11.25]
MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5 [EC:2.7.11.25]
MAP3K7, TAK1; mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
MAP3K4, MEKK4; mitogen-activated protein kinase kinase kinase 4 [EC:2.7.11.25]
TAO; thousand and one amino acid protein kinase [EC:2.7.11.1]
MAP2K4, MKK4; mitogen-activated protein kinase kinase 4 [EC:2.7.12.2]
MAP2K7, MKK7; mitogen-activated protein kinase kinase 7 [EC:2.7.12.2]
MAP2K3, MKK3; mitogen-activated protein kinase kinase 3 [EC:2.7.12.2]
FLNA; filamin
CRK, CRKII; proto-oncogene C-crk
ARRB; beta-arrestin
JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
P38; p38 MAP kinase [EC:2.7.11.24]
MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]
RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]
JAK2; Janus kinase 2 [EC:2.7.10.2]
JUN; transcription factor AP-1
JUND; transcription factor jun-D
ATF2, CREBP1; cyclic AMP-dependent transcription factor ATF-2
MAX; Max protein
MEF2C; MADS-box transcription enhancer factor 2C
AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]
DUSP, MKP; dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]
PPP5C; serine/threonine-protein phosphatase 5 [EC:3.1.3.16]
PPM1B, PP2CB; protein phosphatase 1B [EC:3.1.3.16]
MAP2K5, MEK5; mitogen-activated protein kinase kinase 5 [EC:2.7.12.2]
MAPK7; mitogen-activated protein kinase 7 [EC:2.7.11.24]
NLK; nemo like kinase [EC:2.7.11.24]
ycdX; putative hydrolase
sgtB; monofunctional glycosyltransferase [EC:2.4.1.129]
dbh; DNA polymerase IV (archaeal DinB-like DNA polymerase) [EC:2.7.7.7]
mtaB; methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]
RAD51; DNA repair protein RAD51
radA; DNA repair protein RadA
radB; DNA repair protein RadB
radA, sms; DNA repair protein RadA/Sms
E3.1.3.15B; histidinol-phosphatase (PHP family) [EC:3.1.3.15]
iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
iscU, nifU; nitrogen fixation protein NifU and related proteins
CASPN; caspase invertebrate [EC:3.4.22.-]
TCF7L1; transcription factor 7-like 1
TCF7L2; transcription factor 7-like 2
CTBP; C-terminal binding protein
GROUCHO; groucho
EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]
RUVBL1, RVB1, INO80H; RuvB-like protein 1 (pontin 52)
SMAD2_3; mothers against decapentaplegic homolog 2/3
SMAD4; mothers against decapentaplegic homolog 4
PSEN1, PS1; presenilin 1 [EC:3.4.23.-]
SIAH1; E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
CACYBP, SIP; calcyclin binding protein
TBL1; transducin (beta)-like 1
VANGL; vang-like
PRICKLE; prickle
DAAM; dishevelled associated activator of morphogenesis
RHOA; Ras homolog gene family, member A
ROCK1; Rho-associated protein kinase 1 [EC:2.7.11.1]
CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
AROA1, aroA; chorismate mutase [EC:5.4.99.5]
tyrA2; prephenate dehydrogenase [EC:1.3.1.12]
pheA2; prephenate dehydratase [EC:4.2.1.51]
APP; amyloid beta A4 protein
UBQLN, DSK2; ubiquilin
SERPINA; serpin peptidase inhibitor, clade A
INS; insulin
INSR, CD220; insulin receptor [EC:2.7.10.1]
APBB2, FE65L; amyloid beta A4 precursor protein-binding family B member 2
NAE1, APPBP1; amyloid beta precursor protein binding protein 1
HD; huntingtin
GNAO, G-ALPHA-O; guanine nucleotide-binding protein G(o) subunit alpha
GNB1; guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
GNB5; guanine nucleotide-binding protein subunit beta-5
GNG13; guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
UBB; ubiquitin B
UBE2L3, UBCH7; ubiquitin-conjugating enzyme E2 L3 [EC:2.3.2.23]
UBE2J2, NCUBE2, UBC6; ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
UBE2G2, UBC7; ubiquitin-conjugating enzyme E2 G2 [EC:2.3.2.23]
PARK2; parkin [EC:2.3.2.31]
SEPT5, PNUTL1, CDCREL1; septin 5
HIP1; huntingtin interacting protein 1
STX1A; syntaxin 1A
norB; nitric oxide reductase subunit B [EC:1.7.2.5]
flhG, fleN; flagellar biosynthesis protein FlhG
CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]
SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]
KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]
epmA, poxA; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
CCS; copper chaperone for superoxide dismutase
SSR4; translocon-associated protein subunit delta
NEFL, NF-L; neurofilament light polypeptide
NEF3, NF-M; neurofilament medium polypeptide (neurofilament 3)
NEFH, NF-H; neurofilament heavy polypeptide
ALS2; amyotrophic lateral sclerosis 2 protein
CALCRL; calcitonin receptor-like
CRHR1; corticotropin releasing hormone receptor 1
MTH; G protein-coupled receptor Mth (Methuselah protein)
CELSR1; cadherin EGF LAG seven-pass G-type receptor 1
GRM1; metabotropic glutamate receptor 1
GRM5; metabotropic glutamate receptor 5
GRM6_7_8; metabotropic glutamate receptor 6/7/8
MXR; metabotropic X receptor
CASR; calcium-sensing receptor
V2R; vomeronasal 2 receptor
GABBR; gamma-aminobutyric acid type B receptor
GAOA; galactose oxidase [EC:1.1.3.9]
BOSS; bride of sevenless protein
STE3; pheromone a factor receptor
GNAI; guanine nucleotide-binding protein G(i) subunit alpha
GNAS; guanine nucleotide-binding protein G(s) subunit alpha
GNAQ; guanine nucleotide-binding protein G(q) subunit alpha
IFT57, HIPPI, ESRRBL1; intraflagellar transport protein 57
GNA; guanine nucleotide-binding protein subunit alpha, other
bop; bacteriorhodopsin
HOP; halorhodopsin
SOP; sensory rhodopsin
CLTC; clathrin heavy chain
DCTN1; dynactin 1
HIP2, UBC1; ubiquitin-conjugating enzyme (huntingtin interacting protein 2) [EC:2.3.2.23]
NCOR1, N-CoR; nuclear receptor co-repressor 1
hypA, hybF; hydrogenase nickel incorporation protein HypA/HybF
hypB; hydrogenase nickel incorporation protein HypB
hypC; hydrogenase expression/formation protein HypC
hypD; hydrogenase expression/formation protein HypD
hypE; hydrogenase expression/formation protein HypE
hypF; hydrogenase maturation protein HypF
CHRD; chordin
NOG; noggin
BMP4; bone morphogenetic protein 4
BMPR2; bone morphogenetic protein receptor type-2 [EC:2.7.11.30]
TGFBR1, ALK5; TGF-beta receptor type-1 [EC:2.7.11.30]
ACVR1, ALK2; activin receptor type-1 [EC:2.7.11.30]
SMAD1; mothers against decapentaplegic homolog 1
SMAD6; mothers against decapentaplegic homolog 6
SMURF; E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
MADHIP, SARA; MAD, mothers against decapentaplegic interacting protein
RBL1; retinoblastoma-like protein 1
E2F4_5; transcription factor E2F4/5
TFDP1; transcription factor Dp-1
PITX2; paired-like homeodomain transcription factor 2
RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1]
FZDN, fz3; frizzled
hhoB, degS; serine protease DegS [EC:3.4.21.-]
SOCS5; suppressor of cytokine signaling 5
SOCS6_7; suppressor of cytokine signaling 6/7
CISH; cytokine inducible SH2-containing protein
SPRED; sprouty-related, EVH1 domain-containing protein
STAM; signal transducing adaptor molecule
PIAS1; E3 SUMO-protein ligase PIAS1
CBL; E3 ubiquitin-protein ligase CBL [EC:2.3.2.27]
E1.1.1.102; 3-dehydrosphinganine reductase [EC:1.1.1.102]
LAG1; Acyl-CoA-dependent ceramide synthase [EC:2.3.1.24]
CERS; ceramide synthetase [EC:2.3.1.24]
ACER3, YDC1; dihydroceramidase [EC:3.5.1.-]
DEGS; sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]
SUR2; sphinganine C4-monooxygenase [EC:1.14.18.5]
SGMS; shingomyelin synthase [EC:2.7.8.27]
E2.7.1.138, CERK; ceramide kinase [EC:2.7.1.138]
SGPP1; sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-]
SPHK; sphingosine kinase [EC:2.7.1.91]
bluB; 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]
cobD; threonine-phosphate decarboxylase [EC:4.1.1.81]
XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP [EC:2.3.2.27]
AIFM1, PDCD8; apoptosis-inducing factor 1 [EC:1.-.-.-]
ATM, TEL1; ataxia telangiectasia mutated family protein [EC:2.7.11.1]
MYD88; myeloid differentiation primary response protein MyD88
IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]
IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
PRKAR; cAMP-dependent protein kinase regulator
lptD, imp, ostA; LPS-assembly protein
norF; nitric oxide reductase NorF protein
norQ; nitric oxide reductase NorQ protein
rsbV; anti-sigma B factor antagonist
phnB; PhnB protein
glnB; nitrogen regulatory protein P-II 1
glnK; nitrogen regulatory protein P-II 2
sufI; suppressor of ftsI
mlaA, vacJ; phospholipid-binding lipoprotein MlaA
fdx; ferredoxin, 2Fe-2S
ahpD; alkyl hydroperoxide reductase subunit D
rsbW; serine/threonine-protein kinase RsbW [EC:2.7.11.1]
feoA; ferrous iron transport protein A
feoB; ferrous iron transport protein B
greB; transcription elongation factor GreB
oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
hslR; ribosome-associated heat shock protein Hsp15
xerD; integrase/recombinase XerD
ihfA, himA; integration host factor subunit alpha
mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
acuA; acetoin utilization protein AcuA [EC:2.3.1.-]
acuB; acetoin utilization protein AcuB
acuC; acetoin utilization protein AcuC
spoVT; AbrB family transcriptional regulator, stage V sporulation protein T
lonH; Lon-like ATP-dependent protease [EC:3.4.21.-]
degP, htrA; serine protease Do [EC:3.4.21.107]
degQ, hhoA; serine protease DegQ [EC:3.4.21.-]
sppA; protease IV [EC:3.4.21.-]
sohB; serine protease SohB [EC:3.4.21.-]
ydgD; protease YdgD [EC:3.4.21.-]
vibH; vibriobactin synthetase
dhbF; nonribosomal peptide synthetase DhbF
mbtI, irp9, ybtS; salicylate synthetase [EC:5.4.4.2 4.2.99.21]
pchB; isochorismate pyruvate lyase [EC:4.2.99.21]
irp5, ybtE; yersiniabactin salicyl-AMP ligase [EC:6.3.2.-]
irp2, HMWP2; yersiniabactin nonribosomal peptide synthetase
irp3, ybtU; yersiniabactin synthetase, thiazolinyl reductase component
irp1, HMWP1; yersiniabactin nonribosomal peptide/polyketide synthase
mbtA; mycobactin salicyl-AMP ligase [EC:6.3.2.-]
mbtB; mycobactin phenyloxazoline synthetase
mbtE; mycobactin peptide synthetase MbtE
mbtC; mycobactin polyketide synthetase MbtC
mbtD; mycobactin polyketide synthetase MbtD
mbtF; mycobactin peptide synthetase MbtF
mbtG; mycobactin lysine-N-oxygenase
PTH2; peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]
flpA; fibrillarin-like pre-rRNA processing protein
RUXX; small nuclear ribonucleoprotein
pfdA, PFDN5; prefoldin alpha subunit
pfdB, PFDN6; prefoldin beta subunit
FEN1, RAD2; flap endonuclease-1 [EC:3.-.-.-]
rfcL; replication factor C large subunit
rfcS; replication factor C small subunit
PCNA; proliferating cell nuclear antigen
CHRNA1; nicotinic acetylcholine receptor alpha-1
CHRNA3; nicotinic acetylcholine receptor alpha-3
SCN2A, NAV1.2; voltage-gated sodium channel type II alpha
mal; methylaspartate ammonia-lyase [EC:4.3.1.2]
ycjT; hypothetical glycosyl hydrolase [EC:3.2.1.-]
CACNA1D, CAV1.3; voltage-dependent calcium channel L type alpha-1D
CACNA1G, CAV3.1; voltage-dependent calcium channel T type alpha-1G
CACNA2D3; voltage-dependent calcium channel alpha-2/delta-3
CACNA2D4; voltage-dependent calcium channel alpha-2/delta-4
CACNB2; voltage-dependent calcium channel beta-2
CACNB3; voltage-dependent calcium channel beta-3
CACNG8; voltage-dependent calcium channel gamma-8
KCNA3, KV1.3; potassium voltage-gated channel Shaker-related subfamily A member 3
KCNB1, KV2.1; potassium voltage-gated channel Shab-related subfamily B member 1
KCNB2, KV2.2; potassium voltage-gated channel Shab-related subfamily B member 2
KCNH2, KV11.1; potassium voltage-gated channel Eag-related subfamily H member 2
KCNH5, KV10.2; potassium voltage-gated channel Eag-related subfamily H member 5
KCNH6, KV11.2; potassium voltage-gated channel Eag-related subfamily H member 6
KCNH8, KV12.1; potassium voltage-gated channel Eag-related subfamily H member 8
KCNK1, K2P1.1; potassium channel subfamily K member 1
KCNK9, K2P9.1; potassium channel subfamily K member 9
KCNQ1, KV7.1; potassium voltage-gated channel KQT-like subfamily member 1
KCNMA1, KCA1.1; potassium large conductance calcium-activated channel subfamily M alpha member 1
odh; opine dehydrogenase [EC:1.5.1.28]
KCNT1, KNA1.1; potassium channel subfamily T member 1
CNGA1; cyclic nucleotide gated channel alpha 1
CNGA3; cyclic nucleotide gated channel alpha 3
CNGB1; cyclic nucleotide gated channel beta 1
CNGB3; cyclic nucleotide gated channel beta 3
HCN1; hyperpolarization activated cyclic nucleotide-gated potassium channel 1
HCN2; hyperpolarization activated cyclic nucleotide-gated potassium channel 2
HCN4; hyperpolarization activated cyclic nucleotide-gated potassium channel 4
ITPR1; inositol 1,4,5-triphosphate receptor type 1
RYR2; ryanodine receptor 2
TRPC4; transient receptor potential cation channel subfamily C member 4
TRPM3; transient receptor potential cation channel subfamily M member 3
TRPA1, ANKTM1; transient receptor potential cation channel subfamily A member 1
PKD2, TRPP1; polycystin 2
PKD1L2; polycystin 1L2
KCNJ11, KIR6.2; potassium inwardly-rectifying channel subfamily J member 11
CLCN2; chloride channel 2
CLCN3_4_5; chloride channel 3/4/5
CLCN7; chloride channel 7
CLNS1A; chloride channel, nucleotide-sensitive, 1A
opuD, betL; glycine betaine transporter
SLC6A1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1
SLC6A2; solute carrier family 6 (neurotransmitter transporter, noradrenalin) member 2
SLC6A3; solute carrier family 6 (neurotransmitter transporter, dopamine) member 3
SLC6A4; solute carrier family 6 (neurotransmitter transporter, serotonin) member 4
SLC6A5S; solute carrier family 6 (neurotransmitter transporter, amino acid) member 5/7/9/14
SLC6A6S; solute carrier family 6 (neurotransmitter transporter, GABA) member 6/8/11/12/13
SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20
NMUR1; neuromedin U receptor 1
ERBB2, HER2, CD340; receptor tyrosine-protein kinase erbB-2 [EC:2.7.10.1]
ROS1; proto-oncogene tyrosine-protein kinase ROS [EC:2.7.10.1]
FGFR2, CD332; fibroblast growth factor receptor 2 [EC:2.7.10.1]
FGFR3, CD333; fibroblast growth factor receptor 3 [EC:2.7.10.1]
FLT1, VEGFR1; FMS-like tyrosine kinase 1 [EC:2.7.10.1]
ALK, CD246; anaplastic lymphoma kinase [EC:2.7.10.1]
TEK, TIE2, CD202; endothelial-specific receptor tyrosine kinase [EC:2.7.10.1]
ROR1, NTRKR1; receptor tyrosine kinase-like orphan receptor 1 [EC:2.7.10.1]
DDR2, TKT, CD167b; discoidin domain receptor family member 2 [EC:2.7.10.1]
RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]
PTK7, CCK4; PTK7 protein tyrosine kinase 7 [EC:2.7.10.1]
RYK; RYK receptor-like tyrosine kinase [EC:2.7.10.1]
MUSK; muscle, skeletal, receptor tyrosine kinase [EC:2.7.10.1]
TNFRSF12A, FN14, TWEAKR, CD266; tumor necrosis factor receptor superfamily member 12A
GABRA; gamma-aminobutyric acid receptor subunit alpha
GABRB; gamma-aminobutyric acid receptor subunit beta
GABRE; gamma-aminobutyric acid receptor subunit epsilon
GLRA2; glycine receptor alpha-2
GLRA3; glycine receptor alpha-3
GRIA2; glutamate receptor 2
GRIA3; glutamate receptor 3
GRIK1; glutamate receptor, ionotropic kainate 1
GRIK2; glutamate receptor, ionotropic kainate 2
GRID2; glutamate receptor delta-2 subunit
GRIN1; glutamate receptor ionotropic, NMDA 1
GRIN2B; glutamate receptor ionotropic, NMDA 2B
GRIN3A; glutamate receptor ionotropic, NMDA 3A
COPA, RET1; coatomer subunit alpha
caiT; L-carnitine/gamma-butyrobetaine antiporter
GRGLCN; glutamate receptor, anionic
E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]
ANS; anthocyanidin synthase [EC:1.14.20.4]
FLS; flavonol synthase [EC:1.14.20.6]
E2.1.1.76; flavonol 3-O-methyltransferase [EC:2.1.1.76]
E1.14.13.21; flavonoid 3'-monooxygenase [EC:1.14.13.21]
E1.3.1.45; 2'-hydroxyisoflavone reductase [EC:1.3.1.45]
E1.14.11.12; gibberellin 20-oxidase [EC:1.14.11.12]
PIGW; phosphatidylinositol glycan, class W [EC:2.3.-.-]
PIGM; phosphatidylinositol glycan, class M [EC:2.4.1.-]
PIGN; phosphatidylinositol glycan, class N [EC:2.7.-.-]
PIGB; phosphatidylinositol glycan, class B [EC:2.4.1.-]
PIGF; phosphatidylinositol glycan, class F [EC:2.7.-.-]
PIGO; phosphatidylinositol glycan, class O
GAA1; glycosylphosphatidylinositol transamidase
PIGK; phosphatidylinositol glycan, class K [EC:2.6.-.-]
PIGS; phosphatidylinositol glycan, class S
PIGT; phosphatidylinositol glycan, class T
PIGU; phosphatidylinositol glycan, class U
PGAP1; glycosylphosphatidylinositol deacylase [EC:3.-.-.-]
E1.1.1.51; 3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]
rubB, alkT; rubredoxin---NAD+ reductase [EC:1.18.1.1]
GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]
E1.8.2.1; sulfite dehydrogenase [EC:1.8.2.1]
SETD6; N-lysine methyltransferase SETD6 [EC:2.1.1.-]
K05303; O-methyltransferase [EC:2.1.1.-]
NANS, SAS; sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]
FUK; fucokinase [EC:2.7.1.52]
